hospital,servico,disponivel,observacao,atualizado_em,fonte
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Cirurgia Geral Adulto e Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Clínica Médica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),UTI Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Francisco de Assis (Hospital São Camilo),UTI Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital São Raimundo,Traumato-Ortopédica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital São Raimundo,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital São Raimundo,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital São Raimundo,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital do Coração do Cariri,Cardiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital do Coração do Cariri,Cirurgia Geral,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital do Coração do Cariri,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital do Coração do Cariri,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Santo Antônio,Cirurgia Geral Adulto e Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Santo Antônio,Neurologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Santo Antônio,Saúde Mental,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Santo Antônio,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade Santo Antônio,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Cirurgia Geral Adulto e Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Oncologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Anestesiologia,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,UTI Adulto,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,UTI Pediátrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital Maternidade São Vicente de Paulo,UTI Neonatal,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Lucas,Cirurgia Geral,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
Hospital e Maternidade São Lucas,Obstétrica,sim,,2026-06-06,PSR_CARIRI_FINAL.pdf / Quadro 6; fonte: https://www.saude.ce.gov.br/wp-content/uploads/sites/9/2023/08/PSR_CARIRI_FINAL.pdf
